timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-21T14:49:54.998,-0.007,1.065,-0.016,2.469,0.513,-3.372,1.066,4.21,10,0.0,CHECK_FALL
2026-04-21T14:49:54.998,-0.008,1.061,-0.006,2.819,-1.727,-3.932,1.061,5.137,10,0.0,CHECK_FALL
2026-04-21T14:49:54.998,-0.004,1.053,-0.004,2.259,-3.617,-4.492,1.053,6.194,10,0.0,CHECK_FALL
2026-04-21T14:49:54.998,-0.0,1.054,-0.006,2.119,-3.127,-4.422,1.054,5.815,10,0.0,CHECK_FALL
2026-04-21T14:49:54.998,0.004,1.04,0.009,2.119,-0.467,-5.052,1.04,5.498,10,0.0,CHECK_FALL
2026-04-21T14:49:54.998,0.004,1.06,0.014,0.019,-2.707,-4.212,1.06,5.007,299,0.0,CHECK_FALL
2026-04-21T14:49:55.014,-0.002,1.058,0.011,0.089,-3.827,-4.212,1.058,5.691,5,0.0,CHECK_FALL
2026-04-21T14:49:55.014,0.002,1.058,0.01,0.019,-4.037,-4.282,1.058,5.885,5,0.0,CHECK_FALL
2026-04-21T14:49:55.021,0.001,1.053,0.019,0.089,-3.967,-4.352,1.053,5.889,3,0.0,CHECK_FALL
2026-04-21T14:49:55.027,0.005,1.054,0.019,-0.121,-3.267,-4.282,1.054,5.387,5,0.0,CHECK_FALL
2026-04-21T14:49:55.031,0.005,1.049,0.008,-0.121,-2.777,-4.072,1.049,4.93,5,0.0,CHECK_FALL
2026-04-21T14:49:55.031,0.004,1.043,0.018,0.089,-2.427,-4.072,1.043,4.741,5,0.0,CHECK_FALL
2026-04-21T14:49:55.044,0.004,1.047,0.018,-0.191,-1.517,-3.932,1.048,4.218,4,0.0,CHECK_FALL
2026-04-21T14:49:55.044,0.003,1.042,0.018,-0.471,-0.327,-3.722,1.043,3.765,5,0.0,CHECK_FALL
2026-04-21T14:49:55.044,0.003,1.046,0.004,-0.261,-0.117,-3.722,1.046,3.733,5,0.0,CHECK_FALL
2026-04-21T14:49:55.053,0.006,1.048,0.004,-0.261,-0.537,-3.582,1.048,3.631,5,0.0,CHECK_FALL
2026-04-21T14:49:55.060,0.006,1.05,-0.007,-0.121,-1.447,-3.582,1.05,3.865,5,0.0,CHECK_FALL
2026-04-21T14:49:55.060,0.007,1.047,-0.001,0.439,-2.567,-3.582,1.047,4.428,3,0.0,CHECK_FALL
2026-04-21T14:49:55.069,0.002,1.046,-0.002,0.929,-3.197,-3.442,1.046,4.788,5,0.0,CHECK_FALL
2026-04-21T14:49:55.076,0.001,1.048,0.002,1.629,-3.337,-3.302,1.048,4.969,5,0.0,CHECK_FALL
2026-04-21T14:49:55.076,-0.0,1.045,0.013,2.329,-2.917,-3.372,1.045,5.03,5,0.0,CHECK_FALL
2026-04-21T14:49:55.085,0.002,1.046,0.019,2.119,-2.147,-3.232,1.046,4.421,4,0.0,CHECK_FALL
2026-04-21T14:49:55.085,0.001,1.044,0.017,2.259,-1.587,-3.232,1.045,4.25,5,0.0,CHECK_FALL
2026-04-21T14:49:55.094,0.001,1.044,0.016,1.839,-1.377,-3.232,1.045,3.965,5,0.0,CHECK_FALL
2026-04-21T14:49:55.094,0.0,1.041,0.009,0.789,-1.867,-3.232,1.041,3.815,5,0.0,CHECK_FALL
2026-04-21T14:49:55.094,0.008,1.041,-0.003,0.159,-2.147,-3.092,1.041,3.767,4,0.0,CHECK_FALL
2026-04-21T14:49:55.094,0.011,1.041,0.004,-0.051,-1.657,-2.812,1.042,3.264,4,0.0,CHECK_FALL
2026-04-21T14:49:55.111,0.01,1.037,0.009,-0.681,-1.097,-2.322,1.037,2.657,5,0.0,CHECK_FALL
2026-04-21T14:49:55.111,0.005,1.04,0.015,-0.681,-0.467,-2.182,1.04,2.333,5,0.0,CHECK_FALL
2026-04-21T14:49:55.111,0.001,1.034,0.014,-1.171,0.233,-2.112,1.034,2.426,4,0.0,CHECK_FALL
2026-04-21T14:49:55.126,0.002,1.033,0.015,-1.171,0.163,-2.252,1.033,2.543,5,0.0,CHECK_FALL
2026-04-21T14:49:55.126,0.002,1.038,0.011,-0.961,-0.187,-2.392,1.038,2.584,5,0.0,CHECK_FALL
2026-04-21T14:49:55.134,-0.004,1.037,0.006,-0.961,-1.237,-2.462,1.037,2.918,5,0.0,CHECK_FALL
2026-04-21T14:49:55.138,-0.01,1.039,0.007,-0.751,-1.517,-2.532,1.039,3.045,5,0.0,CHECK_FALL
2026-04-21T14:49:55.143,-0.008,1.032,-0.005,-0.051,-1.307,-2.742,1.032,3.038,4,0.0,CHECK_FALL
2026-04-21T14:49:55.143,-0.011,1.033,-0.01,0.929,-0.467,-2.882,1.033,3.063,4,0.0,CHECK_FALL
2026-04-21T14:49:55.143,-0.015,1.031,-0.0,2.189,0.583,-2.952,1.031,3.721,5,0.0,CHECK_FALL
2026-04-21T14:49:55.158,-0.02,1.031,0.009,2.819,1.283,-2.882,1.031,4.23,5,0.0,CHECK_FALL
2026-04-21T14:49:55.158,-0.016,1.03,0.022,2.679,2.053,-3.092,1.031,4.577,4,0.0,CHECK_FALL
2026-04-21T14:49:55.168,-0.011,1.032,0.021,2.539,2.333,-3.302,1.032,4.774,5,0.0,CHECK_FALL
2026-04-21T14:49:55.168,-0.007,1.037,0.017,2.609,2.263,-3.512,1.037,4.925,5,0.0,CHECK_FALL
2026-04-21T14:49:55.168,0.002,1.051,0.014,2.399,1.913,-3.582,1.051,4.716,5,0.0,CHECK_FALL
2026-04-21T14:49:55.168,-0.002,1.058,0.01,2.189,0.863,-3.442,1.058,4.169,4,0.0,CHECK_FALL
2026-04-21T14:49:55.185,-0.008,1.056,0.002,2.119,-0.257,-3.162,1.056,3.815,5,0.0,CHECK_FALL
2026-04-21T14:49:55.185,-0.011,1.054,0.003,2.119,-1.167,-3.162,1.054,3.981,4,0.0,CHECK_FALL
2026-04-21T14:49:55.195,-0.011,1.043,0.002,2.049,-1.797,-3.372,1.044,4.335,5,0.0,CHECK_FALL
2026-04-21T14:49:55.195,-0.01,1.051,-0.006,1.769,-1.657,-3.582,1.051,4.325,4,0.0,CHECK_FALL
2026-04-21T14:49:55.195,-0.008,1.048,-0.005,1.419,-1.937,-3.862,1.048,4.547,5,0.0,CHECK_FALL
2026-04-21T14:49:55.210,-0.015,1.058,-0.006,1.419,-1.027,-3.932,1.058,4.304,5,0.0,CHECK_FALL
2026-04-21T14:49:55.210,-0.014,1.054,-0.001,0.649,-0.677,-3.862,1.054,3.974,5,0.0,CHECK_FALL
2026-04-21T14:49:55.210,-0.018,1.052,-0.006,0.369,-0.537,-4.072,1.052,4.123,5,0.0,CHECK_FALL
2026-04-21T14:49:55.226,-0.017,1.056,-0.003,-0.051,-0.327,-4.422,1.056,4.434,4,0.0,CHECK_FALL
2026-04-21T14:49:55.226,-0.016,1.052,0.004,-0.401,0.373,-4.772,1.052,4.803,5,0.0,CHECK_FALL
2026-04-21T14:49:55.226,-0.018,1.052,0.0,-0.471,1.703,-5.052,1.052,5.352,4,0.0,CHECK_FALL
2026-04-21T14:49:55.226,-0.011,1.058,-0.007,-0.401,2.123,-5.402,1.058,5.818,5,0.0,CHECK_FALL
2026-04-21T14:49:55.242,-0.017,1.062,-0.011,-0.471,1.213,-5.682,1.062,5.829,4,0.0,CHECK_FALL
