timestamp,window,true_hr,true_spo2
2026-03-19T16:27:24.583,1,87,99
2026-03-19T16:27:26.140,1,87,99
2026-03-19T16:27:27.526,1,87,99
2026-03-19T16:27:30.572,1,84,99
2026-03-19T16:27:33.462,1,81,99
2026-03-19T16:27:37.627,2,81,99
2026-03-19T16:27:39.256,2,82,99
2026-03-19T16:27:42.395,2,85,99
2026-03-19T16:27:43.839,2,90,98
2026-03-19T16:27:45.318,2,84,98
2026-03-19T16:27:47.344,2,80,98
2026-03-19T16:27:52.186,3,79,98
2026-03-19T16:27:54.002,3,81,98
2026-03-19T16:27:56.202,3,78,97
2026-03-19T16:27:58.500,3,76,97
2026-03-19T16:28:00.737,3,74,97
2026-03-19T16:28:06.597,4,78,97
2026-03-19T16:28:08.219,4,75,97
2026-03-19T16:28:10.185,4,74,97
2026-03-19T16:28:11.757,4,72,97
2026-03-19T16:28:13.138,4,72,97
2026-03-19T16:28:14.164,4,73,97
2026-03-19T16:28:15.265,4,75,97
2026-03-19T16:28:19.070,5,79,97
2026-03-19T16:28:20.293,5,78,97
2026-03-19T16:28:21.265,5,77,97
2026-03-19T16:28:22.272,5,75,97
2026-03-19T16:28:23.578,5,74,97
2026-03-19T16:28:25.025,5,75,97
2026-03-19T16:28:26.316,5,74,97
2026-03-19T16:28:28.087,5,75,97
2026-03-19T16:28:32.252,6,83,97
2026-03-19T16:28:36.030,6,88,97
2026-03-19T16:28:38.219,6,83,98
2026-03-19T16:28:39.191,6,82,97
2026-03-19T16:28:40.162,6,79,97
2026-03-19T16:28:41.177,6,77,97
2026-03-19T16:28:44.346,7,76,97
2026-03-19T16:28:45.927,7,77,97
2026-03-19T16:28:48.962,7,76,97
2026-03-19T16:28:50.381,7,74,97
2026-03-19T16:28:52.022,7,75,97
2026-03-19T16:28:53.492,7,79,97
2026-03-19T16:28:58.229,8,85,97
2026-03-19T16:28:59.164,8,83,97
2026-03-19T16:29:00.482,8,83,97
2026-03-19T16:29:01.945,8,82,97
2026-03-19T16:29:04.181,8,82,97
2026-03-19T16:29:05.032,8,81,97
2026-03-19T16:29:06.077,8,79,97
2026-03-19T16:29:07.178,8,77,97
